Data,Kurs
2023-01-02,5.2768
2023-01-03,5.2911
2023-01-04,5.3064
2023-01-05,5.2892
2023-01-09,5.3515
2023-01-10,5.3266
2023-01-11,5.2938
2023-01-12,5.3035
2023-01-13,5.291
2023-01-16,5.2998
2023-01-17,5.2992
2023-01-18,5.3543
2023-01-19,5.3625
2023-01-20,5.3711
2023-01-23,5.3648
2023-01-24,5.3443
2023-01-25,5.3263
2023-01-26,5.369
2023-01-27,5.3505
2023-01-30,5.3609
2023-01-31,5.3595
2023-02-01,5.3279
2023-02-02,5.2838
2023-02-03,5.2571
2023-02-06,5.2764
2023-02-07,5.3212
2023-02-08,5.3351
2023-02-09,5.3427
2023-02-10,5.3922
2023-02-13,5.4003
2023-02-14,5.4193
2023-02-15,5.3674
2023-02-16,5.3772
2023-02-17,5.3606
2023-02-20,5.352
2023-02-21,5.3832
2023-02-22,5.3971
2023-02-23,5.3984
2023-02-24,5.3663
2023-02-27,5.3523
2023-02-28,5.37
2023-03-01,5.3218
2023-03-02,5.2676
2023-03-03,5.3147
2023-03-06,5.3268
2023-03-07,5.2836
2023-03-08,5.2811
2023-03-09,5.2648
2023-03-10,5.3068
2023-03-13,5.3013
2023-03-14,5.3227
2023-03-15,5.3341
2023-03-16,5.3427
2023-03-17,5.362
2023-03-20,5.3808
2023-03-21,5.3561
2023-03-22,5.3385
2023-03-23,5.2966
2023-03-24,5.3417
2023-03-27,5.3364
2023-03-28,5.3242
2023-03-29,5.3302
2023-03-30,5.3177
2023-03-31,5.3107
2023-04-03,5.3236
2023-04-04,5.3462
2023-04-05,5.3379
2023-04-06,5.3648
2023-04-07,5.3404
2023-04-11,5.3369
2023-04-12,5.3041
2023-04-13,5.2874
2023-04-14,5.2565
2023-04-17,5.231
2023-04-18,5.2428
2023-04-19,5.2529
2023-04-20,5.2296
2023-04-21,5.2086
2023-04-24,5.2176
2023-04-25,5.1958
2023-04-26,5.1861
2023-04-27,5.1805
2023-04-28,5.2005
2023-05-02,5.2162
2023-05-04,5.217
2023-05-05,5.2452
2023-05-08,5.2297
2023-05-09,5.2458
2023-05-10,5.2424
2023-05-11,5.2109
2023-05-12,5.2189
2023-05-15,5.1817
2023-05-16,5.1626
2023-05-17,5.1581
2023-05-18,5.215
2023-05-19,5.2182
2023-05-22,5.2096
2023-05-23,5.1667
2023-05-24,5.164
2023-05-25,5.1935
2023-05-26,5.2074
2023-05-29,5.2146
2023-05-30,5.228
